modality,index,title,creator,cluster,cluster_prob
song,0,Father Figure,Taylor Swift,0,0.3308289
song,1,Opalite,Taylor Swift,2,0.26660877
song,2,Elizabeth Taylor,Taylor Swift,2,0.4011737
song,3,The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,4,0.81893843
song,4,The Fate of Ophelia,Taylor Swift,0,0.7047385
song,5,Actually Romantic,Taylor Swift,2,0.7527103
song,6,Wi$h Li$t,Taylor Swift,2,0.6014627
song,7,CANCELLED!,Taylor Swift,3,0.3491826
song,8,Eldest Daughter,Taylor Swift,3,0.5976287
song,9,Wood,Taylor Swift,3,0.6980971
song,10,Ruin The Friendship,Taylor Swift,2,0.5372784
song,11,Honey,Taylor Swift,2,0.6872292
song,12,Elizabeth Taylor - So Glamorous Cabaret Version,Taylor Swift,2,0.48685265
song,13,The Fate of Ophelia - Alone In My Tower Acoustic Version,Taylor Swift,0,0.7028613
song,14,Opalite - Life Is A Song Acoustic Version,Taylor Swift,2,0.25125515
song,15,Eldest Daughter - Now You’re Home Acoustic Version,Taylor Swift,3,0.5710161
song,16,Wi$h Li$t - Settled Down Acoustic Version,Taylor Swift,2,0.59291124
song,17,The Life of a Showgirl (feat. Sabrina Carpenter) - Dressing Room Rehearsal Version,Taylor Swift,2,0.28352123
song,18,The Fate of Ophelia - Track by Track,Taylor Swift,4,0.6496347
song,19,The Life of a Showgirl Intro,Taylor Swift,4,0.7702965
song,20,Elizabeth Taylor - Track by Track,Taylor Swift,4,0.7491833
song,21,Opalite - Track by Track,Taylor Swift,4,0.65204155
song,22,Father Figure - Track by Track,Taylor Swift,4,0.70285296
song,23,Ruin The Friendship - My Advice Version,Taylor Swift,2,0.5540874
song,24,NOKIA,Drake,3,0.43032116
song,25,Headlines,Drake,3,0.53544545
song,26,DIE TRYING,Drake,3,0.3883446
song,27,CN TOWER,Drake,3,0.4419604
song,28,She Will,Drake,3,0.54690886
song,29,SOMETHING ABOUT YOU,Drake,3,0.39826477
song,30,CRYING IN CHANEL,Drake,2,0.44921476
song,31,SPIDER-MAN SUPERMAN,Drake,3,0.41043836
song,32,MOTH BALLS,Drake,3,0.40591043
song,33,SMALL TOWN FAME,Drake,3,0.6309999
song,34,PIMMIE'S DILEMMA,Drake,3,0.5555258
song,35,Passionfruit,Drake,2,0.58090556
song,36,GIMME A HUG,Drake,3,0.44335562
song,37,RAINING IN HOUSTON,Drake,3,0.6118253
song,38,LASERS,Drake,3,0.38229465
song,39,SOMEBODY LOVES ME,Drake,3,0.4163459
song,40,MEET YOUR PADRE,Drake,4,0.59102505
song,41,BRIAN STEEL,Drake,3,0.6193366
song,42,CELIBACY,Drake,3,0.36485386
song,43,GLORIOUS,Drake,3,0.4925537
song,44,WHEN HE'S GONE,Drake,3,0.42097533
song,45,One Dance,Drake,3,0.36900264
song,46,Virginia Beach,Drake,3,0.39313024
song,47,Fear Of Heights,Drake,3,0.64197683
song,48,Daylight,Drake,3,0.4452923
song,49,OMW,Drake,3,0.44416583
song,50,First Person Shooter (feat. J. Cole),Drake,4,0.4034989
song,51,Bahamas Promises,Drake,3,0.7120628
song,52,GREEDY,Drake,3,0.4184398
song,53,Tried Our Best,Drake,3,0.34239423
song,54,God's Plan,Drake,3,0.7458613
song,55,7969 Santa,Drake,3,0.35749304
song,56,Starboy,The Weeknd,3,0.61511016
song,57,The Hills,The Weeknd,3,0.59710157
song,58,Blinding Lights,The Weeknd,2,0.6649628
song,59,Die For You,The Weeknd,2,0.7336929
song,60,Call Out My Name,The Weeknd,2,0.74034995
song,61,I Can't Fucking Sing,The Weeknd,4,0.7344406
song,62,Baptized In Fear,The Weeknd,0,0.6610334
song,63,Open Hearts,The Weeknd,2,0.3297671
song,64,Opening Night,The Weeknd,2,0.48349202
song,65,Given Up On Me,The Weeknd,2,0.6237233
song,66,I Can't Wait To Get There,The Weeknd,3,0.40710115
song,67,Niagara Falls,The Weeknd,2,0.8033465
song,68,Take Me Back To LA,The Weeknd,2,0.38736683
song,69,Give Me Mercy,The Weeknd,0,0.6472628
song,70,Drive,The Weeknd,0,0.41465813
song,71,Red Terror,The Weeknd,0,0.48466176
song,72,Without a Warning,The Weeknd,0,0.33113456
song,73,False Alarm,The Weeknd,2,0.55708086
song,74,Cry For Me,The Weeknd,2,0.5390849
song,75,Reminder,The Weeknd,3,0.6446752
song,76,Rockin’,The Weeknd,2,0.76960295
song,77,Secrets,The Weeknd,2,0.85744274
song,78,True Colors,The Weeknd,2,0.50252247
song,79,Six Feet Under,The Weeknd,3,0.6457394
song,80,Save Your Tears,The Weeknd,2,0.6287894
song,81,Hurry Up Tomorrow,The Weeknd,0,0.24592519
song,82,Party Monster,The Weeknd,3,0.50482893
song,83,Perfect,Ed Sheeran,2,0.6947557
song,84,Shape of You,Ed Sheeran,2,0.7272991
song,85,Azizam,Ed Sheeran,2,0.32325077
song,86,Bad Habits,Ed Sheeran,2,0.58049476
song,87,Camera,Ed Sheeran,2,0.23630863
song,88,Sapphire,Ed Sheeran,0,0.15201116
song,89,Photograph,Ed Sheeran,2,0.7105174
song,90,Opening,Ed Sheeran,3,0.2774952
song,91,Old Phone,Ed Sheeran,0,0.35105056
song,92,Symmetry,Ed Sheeran,0,0.5415949
song,93,A Little More,Ed Sheeran,2,0.41835183
song,94,Shivers,Ed Sheeran,2,0.6408205
song,95,In Other Words,Ed Sheeran,2,0.67010415
song,96,Slowly,Ed Sheeran,2,0.54078805
song,97,The Vow,Ed Sheeran,2,0.5563433
song,98,Don’t Look Down,Ed Sheeran,0,0.65184027
song,99,I Don't Care,Ed Sheeran,2,0.4874226
song,100,For Always,Ed Sheeran,2,0.2635029
song,101,Thinking out Loud,Ed Sheeran,2,0.746861
song,102,Heaven,Ed Sheeran,2,0.4007601
song,103,Problems,Ed Sheeran,0,0.56178176
song,104,War Game,Ed Sheeran,0,0.5171014
song,105,Regrets,Ed Sheeran,2,0.38867432
song,106,Freedom,Ed Sheeran,0,0.61251605
song,107,Tides - Live,Ed Sheeran,2,0.29522187
song,108,BLOW - Live,Ed Sheeran,3,0.75610614
song,109,7 rings,Ariana Grande,3,0.62317514
song,110,Into You,Ariana Grande,2,0.5692848
song,111,One Last Time,Ariana Grande,2,0.65551746
song,112,Dangerous Woman,Ariana Grande,3,0.6588579
song,113,Love Me Harder,Ariana Grande,2,0.5086029
song,114,intro (end of the world),Ariana Grande,2,0.70595455
song,115,we can't be friends (wait for your love),Ariana Grande,2,0.6793424
song,116,bye,Ariana Grande,2,0.7043809
song,117,Side To Side,Ariana Grande,2,0.38241458
song,118,don't wanna break up again,Ariana Grande,2,0.66961795
